App;TestFileName;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Redundant Assertion;Dependent Test;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
jenkins;WaitNodeOfflineCommandTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\cli\WaitNodeOfflineCommand.java;148;9;6;0;0;2;0;0;0;1;3;0;0;0;0;0;0;0;0;1;0;0;0
jenkins;WaitNodeOnlineCommandTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\cli\WaitNodeOnlineCommand.java;171;9;4;0;0;1;0;0;0;1;4;0;0;0;0;0;0;0;0;3;0;0;0
jenkins;AnnotatedLargeTextTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\console\AnnotatedLargeText.java;186;7;9;4;0;0;0;0;0;0;0;0;0;0;9;1;0;0;0;1;0;0;4
jenkins;ConsoleAnnotatorTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\console\ConsoleAnnotator.java;399;17;7;0;0;0;0;0;0;3;2;0;0;0;0;2;0;0;0;0;0;2;8
jenkins;ConsoleLogFilterTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\console\ConsoleLogFilter.java;52;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;ExceptionAnnotationTest;;39;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
jenkins;HyperlinkNoteTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\console\HyperlinkNote.java;100;5;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
jenkins;UrlAnnotatorTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\console\UrlAnnotator.java;57;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
jenkins;PluginManagerOverrideTest;;42;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;CustomPluginManager;;143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;HudsonHomeDiskUsageMonitorTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\diagnosis\HudsonHomeDiskUsageMonitor.java;105;4;5;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
jenkins;OldDataMonitorTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\diagnosis\OldDataMonitor.java;160;8;1;2;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;9
jenkins;ReverseProxySetupMonitorTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\diagnosis\ReverseProxySetupMonitor.java;288;17;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;TooManyJobsButNoViewTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\diagnosis\TooManyJobsButNoView.java;131;10;1;0;0;0;3;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0
