App;TestFileName;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Redundant Assertion;Dependent Test;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
commons-io;AccumulatorPathVisitorTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\file\AccumulatorPathVisitor.java;279;11;32;8;0;0;2;18;0;16;5;0;0;2;0;1;0;0;2;1;0;0;5
commons-io;FileTimesTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\file\attribute\FileTimes.java;276;26;14;15;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;6
commons-io;CleaningPathVisitorTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\file\CleaningPathVisitor.java;159;9;28;5;0;0;2;12;0;4;0;0;0;0;0;0;0;0;2;0;0;0;3
commons-io;CopyDirectoryVisitorTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\file\CopyDirectoryVisitor.java;145;7;26;5;0;0;0;6;0;5;0;0;0;0;0;0;0;0;1;2;0;0;5
commons-io;CountersEqualsAndHashCodeTest;;125;16;0;0;0;0;10;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0
commons-io;CountersTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\file\Counters.java;82;6;2;2;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;4
commons-io;CountingPathVisitorTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\file\CountingPathVisitor.java;89;6;0;0;0;0;1;0;0;4;0;0;0;1;0;0;0;0;0;1;0;0;0
commons-io;DeletingPathVisitorTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\file\DeletingPathVisitor.java;179;11;18;3;0;0;2;4;0;7;0;0;0;0;0;0;0;0;2;0;0;0;3
commons-io;DirectoryStreamFilterTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\file\DirectoryStreamFilter.java;62;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
commons-io;FilesUncheckTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\file\FilesUncheck.java;471;66;4;16;0;0;3;0;0;17;0;0;0;0;0;0;0;0;0;17;0;0;17
commons-io;PathUtilsCleanDirectoryTest;;71;5;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;PathUtilsContentEqualsTest;;373;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;PathUtilsCountingTest;;83;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;PathUtilsDeleteDirectoryTest;;112;8;0;0;0;0;2;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0
commons-io;PathUtilsDeleteFileTest;;141;8;0;0;0;0;1;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0
commons-io;PathUtilsDeleteTest;;188;20;0;0;0;0;14;0;0;6;0;0;0;4;0;0;0;0;0;0;0;0;0
commons-io;PathUtilsIsEmptyTest;;63;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;PathUtilsTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\file\PathUtils.java;603;55;65;5;2;0;4;0;0;3;9;0;0;0;6;1;0;2;10;15;0;0;6
commons-io;PathUtilsVisitorTest;;103;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;FileSystemProvidersTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\file\spi\FileSystemProviders.java;65;6;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
commons-io;TempDirectoryTest;C:\Users\vicfr\.jnose_projects\commons-io\src\test\java\org\apache\commons\io\file\TempDirectory.java;61;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3
commons-io;TempFileTest;C:\Users\vicfr\.jnose_projects\commons-io\src\test\java\org\apache\commons\io\file\TempFile.java;60;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
commons-io;TestArguments;;65;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;FileCleaningTrackerTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\FileCleaningTracker.java;382;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;FileDeleteStrategyTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\FileDeleteStrategy.java;143;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;AbstractConditionalFileFilterTest;;182;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;AbstractFilterTest;;182;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;TesterTrueFileFilter;;141;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;AgeFileFilterTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\filefilter\AgeFileFilter.java;108;3;6;0;1;0;0;0;0;4;0;0;0;0;0;1;0;1;0;0;0;0;1
commons-io;AndFileFilterTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\filefilter\AndFileFilter.java;313;19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;DirectoryFileFilterTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\filefilter\DirectoryFileFilter.java;92;2;5;0;1;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0
commons-io;FileFilterTest;;1459;55;0;0;0;0;0;0;0;10;0;0;0;0;5;17;0;41;0;0;0;0;0
commons-io;NameFileFilterTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\filefilter\NameFileFilter.java;112;3;12;0;1;0;0;0;0;8;0;0;0;0;0;1;0;1;3;0;0;0;1
commons-io;OrFileFilterTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\filefilter\OrFileFilter.java;295;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;PathMatcherFileFilterTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\filefilter\PathMatcherFileFilter.java;50;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
